user_id,rec_1,rec_2,rec_3,rec_4,rec_5
5506791978555287,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791984436689,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786215982409
5506791985959683,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5371339105280676,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791986650045,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791988639487,1377786217541698,1377786228237359,1377786228262109,1377786228243389,1377786215982409
5506791966405805,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791964778551,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791974964664,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791971976024,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791994484810,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791995205621,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791954021043,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786215982409
5506791955199195,1377786217541698,1377786228237359,1377786228262109,1377786228243389,1377786215982409
5506791992620659,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791978770602,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791970184024,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791964697653,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791993510070,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791948819770,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791962946101,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791968807791,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791994198802,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791950876947,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791989251480,1377786217541698,1377786228237359,1377786228262109,1377786228243389,1377786215982409
5506791965915089,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791992060490,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786215982409
5506791995133007,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791995454486,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791981999979,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791959964717,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791988642912,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791953203994,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791973906064,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791954883474,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791954554570,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791986484890,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
5506791981945089,1377786217541698,1377786228237359,1377786228240538,1377786228262109,1377786228243389
